Board,Grade,Subject,Chapter,Topic,QuestionText_EN,QuestionText_UR,Type,Marks,Difficulty,OptionA_EN,OptionA_UR,OptionB_EN,OptionB_UR,OptionC_EN,OptionC_UR,OptionD_EN,OptionD_UR,CorrectAnswer_Letter,ModelAnswer_EN,ModelAnswer_UR,ImageURL,Sources,Pair1_Left_EN,Pair1_Left_UR,Pair1_Right_EN,Pair1_Right_UR,Pair2_Left_EN,Pair2_Left_UR,Pair2_Right_EN,Pair2_Right_UR,Pair3_Left_EN,Pair3_Left_UR,Pair3_Right_EN,Pair3_Right_UR,Pair4_Left_EN,Pair4_Left_UR,Pair4_Right_EN,Pair4_Right_UR
Punjab Board (PCTB),Class 10,Mathematics,Quadratic Equations,Discriminant & Nature of Roots,The discriminant of the quadratic equation ax² + bx + c = 0 is:,دو درجی مساوات ax² + bx + c = 0 کا فرق کنندہ (discriminant) ہوتا ہے:,MCQ,1,Easy,b² - 4ac,b² - 4ac,b² + 4ac,b² + 4ac,-b ± √(b² - 4ac),-b ± √(b² - 4ac),4ac - b²,4ac - b²,A,,,,Textbook Exercise|Past Board 2024,,,,,,,,,,,,,,,,
Punjab Board (PCTB),Class 9,Mathematics,Matrices and Determinants,Singular and Non-Singular Matrices,"If the determinant of a square matrix |A| = 0, then matrix A is called:",اگر کسی مربی قالب کا مقطع |A| = 0 ہو، تو قالب A کہلاتا ہے:,MCQ,1,Easy,Singular Matrix,نادر قالب (Singular),Non-Singular Matrix,غیر نادر قالب (Non-Singular),Identity Matrix,وحدانی قالب (Identity),Null Matrix,صفری قالب (Null),A,,,,Textbook Exercise|Model Paper,,,,,,,,,,,,,,,,
Punjab Board (PCTB),Class 10,Mathematics,Introduction to Trigonometry,Trigonometric Identities,Prove the fundamental trigonometric identity: sin²θ + cos²θ = 1.,بنیادی مثلثیاتی مماثلت ثابت کریں: sin²θ + cos²θ = 1,Short Answer,2,Medium,,,,,,,,,,"In a right triangle with perpendicular a, base b and hypotenuse c: sinθ = a/c and cosθ = b/c. Then sin²θ + cos²θ = (a²/c²) + (b²/c²) = (a² + b²)/c². By Pythagoras Theorem, a² + b² = c², so c²/c² = 1. Hence proved.",قائمۃ الزاویہ مثلث میں عمود a، قاعدہ b اور وتر c ہو۔ sinθ = a/c اور cosθ = b/c ہے۔ لہٰذا sin²θ + cos²θ = (a² + b²)/c²۔ مسئلہ فیثاغورث کی رو سے a² + b² = c² ہوتا ہے، پس c²/c² = 1۔ ثابت ہوا۔,,Past Board 2023|Important Concept,,,,,,,,,,,,,,,,
Punjab Board (PCTB),Class 9,Mathematics,Matrices and Determinants,Cramer's Rule,"Solve the following system of linear equations using Cramer's Rule:
2x - 2y = 4
3x + 2y = 6","کرائمر کے قانون (Cramer's Rule) کی مدد سے مساواتوں کا نظام حل کریں:
2x - 2y = 4
3x + 2y = 6",Long Answer,4,Hard,,,,,,,,,,"Matrix A = [[2, -2], [3, 2]], |A| = (2)(2) - (-2)(3) = 4 + 6 = 10 ≠ 0.
Matrix Ax = [[4, -2], [6, 2]], |Ax| = (4)(2) - (-2)(6) = 8 + 12 = 20. So x = |Ax| / |A| = 20/10 = 2.
Matrix Ay = [[2, 4], [3, 6]], |Ay| = (2)(6) - (4)(3) = 12 - 12 = 0. So y = |Ay| / |A| = 0/10 = 0.
Solution Set = {(2, 0)}.","قالب A = [[2, -2], [3, 2]]، مقطع |A| = 4 + 6 = 10 ≠ 0۔
قالب Ax کا مقطع |Ax| = 8 + 12 = 20، پس x = 20/10 = 2۔
قالب Ay کا مقطع |Ay| = 12 - 12 = 0، پس y = 0/10 = 0۔
حل سیٹ = {(2, 0)}۔",,Textbook Review Exercise|Past Board 2022,,,,,,,,,,,,,,,,
Punjab Board (PCTB),Class 9,Chemistry,Structure of Molecules,Types of Covalent Bonds,Which of the following diatomic gas molecules contains a triple covalent bond?,درج ذیل میں سے کس مالیکیول میں ٹرپل کوویلنٹ بانڈ موجود ہوتا ہے؟,MCQ,1,Medium,N₂ (Nitrogen),N₂ (نائٹروجن),O₂ (Oxygen),O₂ (آکسیجن),Cl₂ (Chlorine),Cl₂ (کلورین),H₂ (Hydrogen),H₂ (ہائیڈروجن),A,,,,Textbook Exercise|Past Board 2024,,,,,,,,,,,,,,,,
Punjab Board (PCTB),Class 11,Chemistry,Basic Concepts,Avogadro's Constant & Moles,The number of atoms present in exactly 1 mole of carbon-12 (12g) is:,کاربن-12 کے 1 مول میں موجود ایٹمز کی تعداد کتنی ہوتی ہے؟,MCQ,1,Easy,6.022 × 10²³ atoms,6.022 × 10²³ ایٹمز,3.011 × 10²³ atoms,3.011 × 10²³ ایٹمز,1.66 × 10⁻²⁴ atoms,1.66 × 10⁻²⁴ ایٹمز,12 × 10²³ atoms,12 × 10²³ ایٹمز,A,,,,Model Paper|FBISE Board,,,,,,,,,,,,,,,,
Punjab Board (PCTB),Class 9,Chemistry,Physical States of Matter,Boyle's Law,State Boyle's Law and write its mathematical equation.,بوائل کا قانون بیان کریں اور اس کا حسابی فارمولا لکھیں۔,Short Answer,2,Medium,,,,,,,,,,Boyle's Law states that the volume of a given mass of a gas is inversely proportional to its pressure at constant temperature. Mathematical form: V ∝ 1/P or P₁V₁ = P₂V₂ = k (constant).,اگر درجہ حرارت مستقل رہے تو گیس کے دیے گئے ماس کا والیم اس پر لگائے گئے پریشر کے انورسلی پروپورشنل ہوتا ہے۔ حسابی فارمولا: V ∝ 1/P یا P₁V₁ = P₂V₂ = k (مستقل)۔,,Textbook Chapter 5|Board Important,,,,,,,,,,,,,,,,
Punjab Board (PCTB),Class 10,Chemistry,Chemical Equilibrium,Law of Mass Action & Kc Derivation,State the Law of Mass Action. Derive the expression for equilibrium constant (Kc) for the general reversible reaction: aA + bB ⇌ cC + dD.,لا آف ماس ایکشن بیان کریں۔ اور عمومی ریورسیبل ری ایکشن aA + bB ⇌ cC + dD کے لیے ایکویلیبریم کانسٹنٹ (Kc) کا فارمولا اخذ کریں۔,Long Answer,5,Hard,,,,,,,,,,"The rate at which a substance reacts is directly proportional to its active mass. For reaction aA + bB ⇌ cC + dD: Forward rate Rf = kf[A]^a[B]^b, Reverse rate Rr = kr[C]^c[D]^d. At dynamic equilibrium Rf = Rr, therefore kf/kr = ([C]^c[D]^d) / ([A]^a[B]^b) = Kc.",کسی شے کے ری ایکٹ کرنے کی رفتار اس کے ایکٹو ماس کے ڈائریکٹلی پروپورشنل ہوتی ہے۔ فارورڈ ری ایکشن کی رفتار Rf = kf[A]^a[B]^b، ریورس ری ایکشن کی رفتار Rr = kr[C]^c[D]^d۔ متوازن حالت پر Rf = Rr، لہٰذا Kc = ([C]^c[D]^d) / ([A]^a[B]^b)۔,,Textbook Chapter 9|Past Board 2023,,,,,,,,,,,,,,,,
Punjab Board (PCTB),Class 9,Physics,Dynamics,Newton's Second Law of Motion,"The SI unit of force is Newton (N), which in base units is equivalent to:",فورس کا ایس آئی یونٹ نیوٹن (N) ہے، جو بنیادی یونٹس میں برابر ہوتا ہے:,MCQ,1,Easy,kg·m/s²,kg·m/s²,kg·m²/s²,kg·m²/s²,kg·m/s,kg·m/s,N·m,N·m,A,,,,Textbook Exercise|Past Paper,,,,,,,,,,,,,,,,
Punjab Board (PCTB),Class 10,Physics,Current Electricity,Ohm's Law & Resistance,"State Ohm's Law and state the relationship between Voltage, Current, and Resistance.",اوہم کا قانون (Ohm's Law) بیان کریں اور وولٹیج، کرنٹ اور ریزسٹنس کے مابین تعلق واضح کریں۔,Short Answer,2,Medium,,,,,,,,,,"The current (I) flowing through a conductor is directly proportional to the potential difference (V) across its ends, provided temperature and physical state remain constant. Formula: V = IR (where V is in Volts, I in Amperes, R in Ohms Ω).",اگر موصل کی طبعی حالت اور درجہ حرارت تبدیل نہ ہو تو اس میں سے گزرنے والا کرنٹ (I) اس کے سروں پر پوٹینشل ڈفرنس (V) کے ڈائریکٹلی پروپورشنل ہوتا ہے۔ فارمولا: V = IR۔,,Textbook Chapter 14|Past Board 2024,,,,,,,,,,,,,,,,
