Board,Grade,Subject,Chapter,Topic,Type,Difficulty,Marks,QuestionText_EN,QuestionText_UR,OptionA_EN,OptionB_EN,OptionC_EN,OptionD_EN,OptionA_UR,OptionB_UR,OptionC_UR,OptionD_UR,CorrectAnswer,Sources,ImageURL
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","Which branch of Biology focuses on the study of the structure and function of cells?","بیالوجی کی کون سی شاخ سیلز کی ساخت اور افعال کا مطالعہ کرتی ہے؟","Cytology","Microbiology","Histology","Ecology","سائٹولوجی","مائیکروبیالوجی","ہسٹالوجی","ایکولوجی","A","Exercise",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","The study of the processes of heredity and variation in living organisms is known as:","جانداروں میں وراثت اور تغیریات کا مطالعہ کہلاتا ہے؟","Ecology","Genetics","Anatomy","Embryology","ایکولوجی","جینیٹکس","ایناٹومی","ایمبریولوجی","B","Exercise",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","Heart pumps blood, stomach digests food and kidneys excrete wastes. The statement comes from:","دل خون پمپ کرتا ہے، معدہ کھانا ہضم کرتا ہے اور گردے فضلہ نکالتے ہیں۔ یہ بیان کہاں سے آیا ہے؟","Physiology","Anatomy","Morphology","Histology","فزیالوجی","ایناٹومی","مارفولوجی","ہسٹالوجی","A","Exercise",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","Which branch of Biology involves the study of the classification of organisms?","بائیولوجی کی کون سی شاخ میں جانداروں کی گروہ بندی(کلاسیفیکیشن) کا مطالعہ شامل ہے؟","Taxonomy","Physiology","Palaeontology","Biogeography","ٹیکسونومی","فزیالوجی","پیلے انٹالوجی","بائیو جغرافیائی","A","Exercise",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","Study of internal physical structure of organisms is called:","جانداروں کی اندرونی جسمانی ساخت کا مطالعہ کہلاتا ہے:","Anatomy","Physiology","Embryology","Genetics","ایناٹومی","فزیالوجی","ایمبر یو لوجی","جینیٹکس","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","In embryology, scientist study:","ایمبر یولوجی میں سائنسدان مطالعہ کرتے ہیں:","Organ and tissue formation","Identify birth defects","Developed medical treatment","All of the above","اعضاء اور ٹشوز کا بننا","پیدائشی نقائص کی نشاندہی","طبی علاج کے طریقے تیار کرنا","مندرجہ بالا تمام","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","Remains of plants and animals that were preserved in rocks and other geological formations is called:","پودوں اور جانوروں کی باقیات جو چٹانوں اور دیگر ارضیاتی تشکیلوں میں محفوظ ہیں، کہلاتے ہیں:","Pathogens","Toxins","Fossils","Pollutants","پیتھوجنز","ٹاکسنز","فوسلز","پالیوٹینٹس","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","The examination of fossils helps scientists to know the:","فوسلز کا معائنہ سائنسدانوں کو یہ جاننے میں مدد کرتا ہے:","The age of earth","About climate","Evolutionary history","About drugs","زمین کی عمر","آب وہوا کے بارے میں","ارتقائی تاریخ","ادویات کے بارے میں","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","The microscopic study of tissues:","ٹشوز کا خردبینی مطالعہ کہلاتا ہے:","Ecology","Histology","Anatomy","Embryology","ایکا لوجی","ہسٹولوجی","ایناٹومی","ایمبر یو لوجی","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","Genetics is the branch of biology that deals with the study of:","جینیٹکس بائیو لوجی کی وہ شاخ جس میں مطالعہ کیا جاتا ہے:","Transfer of characters","Cause of genetic diseases","New species","Both A and B","خصوصیات کی منتقلی","جینیاتی بیماریوں کے اسباب","نئی سپی شیز","اے اور بی دونوں","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","Which branch of biology helps to conserve biodiversity and address environmental problems:","بائیو لوجی کی کونسی شاخ سے جانداروں کے تنوع کو بچانے اور ماحولیاتی مسائل کو حل کرنے میں مدد ملتی ہے:","Histology","Palaeontology","Taxonomy","Ecology","ہسٹولوجی","پیلےانٹولوجی","ٹیکسانومی","ایکا لوجی","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","Study of diseases, their causes and effects is called:","بیماریوں ،ان کے اسباب اور اثرات کا مطالعہ کہلاتا ہے:","Immunology","Pathology","Pharmacology","Palaeontology","امیونالوجی","پیتھا لوجی","فارماکولوجی","پیلے انٹولوجی","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","Pharmacology is the study of:","فارماکولوجی مطالعہ ہے:","Ocean","Tissues","Nutrients","Drugs","سمندر","ٹشوز","نیوٹرینٹس","ادویات","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","Which of the following support a wide variety of marine life?","مندرجہ ذیل میں سے کون سمندری زندگی کی وسیع اقسام کی حمایت کرتا ہے؟","Fossils","Protozoa","Coral reefs","Bacteria","فوسلز","پروٹوزوا","کورل ریفز","بیکٹیریا","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","The word biology has been derived from two words:","بائیو لوجی کا لفظ دو الفاظ سے آیا ہے:","Greek","English","Latin","None of these","یونانی","انگریزی","لاطینی","ان میں کوئی نہیں","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","The study of living things is called:","جانداروں کا مطالعہ کہلاتا ہے:","Biotechnology","Biology","Chemistry","Farming","بائیو ٹیکنالوجی","بائیو لوجی","کیمسٹری","فارمنگ","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","The study of the transmission of characteristics from parents to offspring is called:","والدین سے اولاد میں خصوصیات کی منتقلی کا مطالعہ کہلاتا ہے:","Biotechnology","Genetics","Geology","Information technology","بائیو ٹیکنالوجی","جینیٹکس","جیولوجی","انفارمیشن ٹیکنالوجی","B","Additional",""
